Name,Role,Market Value,Squadra
Yann Sommer,"Yann Sommer            




            Portiere","5,00 mln €",Inter
Emil Audero,"Emil Audero            




            Portiere","5,00 mln €",Inter
Raffaele Di Gennaro,"Raffaele Di Gennaro  




            Portiere",300 mila €,Inter
Alessandro Calligaris,"Alessandro Calligaris            




            Portiere",150 mila €,Inter
Alessandro Bastoni,"Alessandro Bastoni            




            Difensore centrale","70,00 mln €",Inter
Benjamin Pavard,"Benjamin Pavard  




            Difensore centrale","50,00 mln €",Inter
Yann Bisseck,"Yann Bisseck            




            Difensore centrale","16,00 mln €",Inter
Stefan de Vrij,"Stefan de Vrij            




            Difensore centrale","7,00 mln €",Inter
Francesco Acerbi,"Francesco Acerbi  




            Difensore centrale","3,50 mln €",Inter
Giacomo Stabile,"Giacomo Stabile            




            Difensore centrale",50 mila €,Inter
Federico Dimarco,"Federico Dimarco            




            Terzino sinistro","50,00 mln €",Inter
Carlos Augusto,"Carlos Augusto            




            Terzino sinistro","22,00 mln €",Inter
Matteo Motta,"Matteo Motta            




            Terzino sinistro",100 mila €,Inter
Denzel Dumfries,"Denzel Dumfries            




            Terzino destro","24,00 mln €",Inter
Matteo Darmian,"Matteo Darmian  




            Terzino destro","4,00 mln €",Inter
Hakan Çalhanoğlu,"Hakan Çalhanoğlu            




            Mediano","45,00 mln €",Inter
Kristjan Asllani,"Kristjan Asllani            




            Mediano","18,00 mln €",Inter
Lucien Agoumé,"Lucien Agoumé            




            Mediano","6,00 mln €",Inter
Aleksandar Stankovic,"Aleksandar Stankovic            




            Mediano","1,00 mln €",Inter
Nicolò Barella,"Nicolò Barella            




            Centrale","80,00 mln €",Inter
Davide Frattesi,"Davide Frattesi            




            Centrale","35,00 mln €",Inter
Henrikh Mkhitaryan,"Henrikh Mkhitaryan            




            Centrale","6,00 mln €",Inter
Davy Klaassen,"Davy Klaassen  




            Centrale","4,00 mln €",Inter
Stefano Sensi,"Stefano Sensi            




            Centrale","3,00 mln €",Inter
Ebenezer Akinsanmiro,"Ebenezer Akinsanmiro            




            Centrale","1,80 mln €",Inter
Tajon Buchanan,"Tajon Buchanan            




            Centrocampista di destra","8,00 mln €",Inter
Juan Cuadrado,"Juan Cuadrado  




            Centrocampista di destra","1,00 mln €",Inter
Tommaso Guercio,"Tommaso Guercio            




            Centrocampista di sinistra",300 mila €,Inter
Issiaka Kamate,"Issiaka Kamate            




            Ala destra","1,00 mln €",Inter
Joaquín Correa,"Joaquín Correa            




            Seconda punta","6,00 mln €",Inter
Lautaro Martínez,"Lautaro Martínez  




            Punta centrale","110,00 mln €",Inter
Marcus Thuram,"Marcus Thuram            




            Punta centrale","65,00 mln €",Inter
Marko Arnautovic,"Marko Arnautovic            




            Punta centrale","4,00 mln €",Inter
Alexis Sánchez,"Alexis Sánchez            




            Punta centrale","2,50 mln €",Inter
Amadou Sarr,"Amadou Sarr  




            Punta centrale",150 mila €,Inter
Mike Maignan,"Mike Maignan            




            Portiere","38,00 mln €",AC Milan
Marco Sportiello,"Marco Sportiello            




            Portiere","1,50 mln €",AC Milan
Noah Raveyre,"Noah Raveyre            




            Portiere",200 mila €,AC Milan
Lapo Nava,"Lapo Nava            




            Portiere",150 mila €,AC Milan
Antonio Mirante,"Antonio Mirante            




            Portiere",100 mila €,AC Milan
Andrea Bartoccioni,"Andrea Bartoccioni            




            Portiere",50 mila €,AC Milan
Lorenzo Torriani,"Lorenzo Torriani            




            Portiere",10 mila €,AC Milan
Fikayo Tomori,"Fikayo Tomori            




            Difensore centrale","40,00 mln €",AC Milan
Malick Thiaw,"Malick Thiaw            




            Difensore centrale","25,00 mln €",AC Milan
Pierre Kalulu,"Pierre Kalulu            




            Difensore centrale","20,00 mln €",AC Milan
Matteo Gabbia,"Matteo Gabbia            




            Difensore centrale","8,00 mln €",AC Milan
Jan-Carlo Simić,"Jan-Carlo Simić            




            Difensore centrale","5,00 mln €",AC Milan
Marco Pellegrino,"Marco Pellegrino  




            Difensore centrale","3,50 mln €",AC Milan
Simon Kjær,"Simon Kjær            




            Difensore centrale","1,50 mln €",AC Milan
Mattia Caldara,"Mattia Caldara            




            Difensore centrale",800 mila €,AC Milan
Clinton Nsiala,"Clinton Nsiala            




            Difensore centrale",200 mila €,AC Milan
Theo Hernández,"Theo Hernández            




            Terzino sinistro","60,00 mln €",AC Milan
Davide Bartesaghi,"Davide Bartesaghi            




            Terzino sinistro","1,00 mln €",AC Milan
Davide Calabria,"Davide Calabria  




            Terzino destro","13,00 mln €",AC Milan
Filippo Terracciano,"Filippo Terracciano            




            Terzino destro","4,50 mln €",AC Milan
Álex Jiménez,"Álex Jiménez            




            Terzino destro","4,00 mln €",AC Milan
Alessandro Florenzi,"Alessandro Florenzi  




            Terzino destro","2,00 mln €",AC Milan
Ismaël Bennacer,"Ismaël Bennacer            




            Mediano","30,00 mln €",AC Milan
Yacine Adli,"Yacine Adli            




            Mediano","15,00 mln €",AC Milan
Rade Krunic,"Rade Krunic            




            Mediano","6,00 mln €",AC Milan
Victor Eletu,"Victor Eletu            




            Mediano",400 mila €,AC Milan
Tijjani Reijnders,"Tijjani Reijnders            




            Centrale","30,00 mln €",AC Milan
Ruben Loftus-Cheek,"Ruben Loftus-Cheek  




            Centrale","25,00 mln €",AC Milan
Yunus Musah,"Yunus Musah            




            Centrale","22,00 mln €",AC Milan
Tommaso Pobega,"Tommaso Pobega  




            Centrale","10,00 mln €",AC Milan
Kevin Zeroli,"Kevin Zeroli            




            Centrale","2,00 mln €",AC Milan
Rafael Leão,"Rafael Leão  




            Ala sinistra","90,00 mln €",AC Milan
Noah Okafor,"Noah Okafor            




            Ala sinistra","20,00 mln €",AC Milan
Chaka Traorè,"Chaka Traorè            




            Ala sinistra","1,50 mln €",AC Milan
Diego Sia,"Diego Sia            




            Ala sinistra",-,AC Milan
Christian Pulisic,"Christian Pulisic            




            Ala destra","40,00 mln €",AC Milan
Samuel Chukwueze,"Samuel Chukwueze  




            Ala destra","20,00 mln €",AC Milan
Luka Romero,"Luka Romero            




            Ala destra","5,00 mln €",AC Milan
Francesco Camarda,"Francesco Camarda            




            Punta centrale","10,00 mln €",AC Milan
Luka Jović,"Luka Jović            




            Punta centrale","7,00 mln €",AC Milan
Lorenzo Colombo,"Lorenzo Colombo            




            Punta centrale","6,00 mln €",AC Milan
Olivier Giroud,"Olivier Giroud            




            Punta centrale","3,00 mln €",AC Milan
Alex Meret,"Alex Meret            




            Portiere","12,00 mln €",SSC Napoli
Pierluigi Gollini,"Pierluigi Gollini            




            Portiere","4,00 mln €",SSC Napoli
Nikita Contini,"Nikita Contini            




            Portiere",400 mila €,SSC Napoli
Hubert Idasiak,"Hubert Idasiak            




            Portiere",150 mila €,SSC Napoli
Amir Rrahmani,"Amir Rrahmani            




            Difensore centrale","15,00 mln €",SSC Napoli
Natan,"Natan            




            Difensore centrale","12,00 mln €",SSC Napoli
Leo Østigård,"Leo Østigård            




            Difensore centrale","8,00 mln €",SSC Napoli
Juan Jesus,"Juan Jesus            




            Difensore centrale","2,50 mln €",SSC Napoli
Luigi D'Avino,"Luigi D'Avino            




            Difensore centrale",125 mila €,SSC Napoli
Mathías Olivera,"Mathías Olivera            




            Terzino sinistro","15,00 mln €",SSC Napoli
Mário Rui,"Mário Rui            




            Terzino sinistro","3,50 mln €",SSC Napoli
Giovanni Di Lorenzo,"Giovanni Di Lorenzo  




            Terzino destro","15,00 mln €",SSC Napoli
Alessandro Zanoli,"Alessandro Zanoli            




            Terzino destro","5,00 mln €",SSC Napoli
Pasquale Mazzocchi,"Pasquale Mazzocchi            




            Terzino destro","3,00 mln €",SSC Napoli
Stanislav Lobotka,"Stanislav Lobotka            




            Mediano","28,00 mln €",SSC Napoli
Jens Cajuste,"Jens Cajuste            




            Mediano","10,00 mln €",SSC Napoli
Leander Dendoncker,"Leander Dendoncker            




            Mediano","7,00 mln €",SSC Napoli
Diego Demme,"Diego Demme            




            Mediano",800 mila €,SSC Napoli
Francesco Gioielli,"Francesco Gioielli            




            Mediano",175 mila €,SSC Napoli
Frank Anguissa,"Frank Anguissa            




            Centrale","27,00 mln €",SSC Napoli
Piotr Zieliński,"Piotr Zieliński            




            Centrale","22,00 mln €",SSC Napoli
Lorenzo Russo,"Lorenzo Russo            




            Centrale",100 mila €,SSC Napoli
Karim Zedadka,"Karim Zedadka            




            Centrocampista di sinistra",250 mila €,SSC Napoli
Eljif Elmas,"Eljif Elmas  




            Trequartista","20,00 mln €",SSC Napoli
Hamed Junior Traoré,"Hamed Junior Traoré            




            Trequartista","17,00 mln €",SSC Napoli
Gianluca Gaetano,"Gianluca Gaetano            




            Trequartista","6,00 mln €",SSC Napoli
Khvicha Kvaratskhelia,"Khvicha Kvaratskhelia            




            Ala sinistra","80,00 mln €",SSC Napoli
Hirving Lozano,"Hirving Lozano            




            Ala sinistra","15,00 mln €",SSC Napoli
Alessio Zerbin,"Alessio Zerbin            




            Ala sinistra","4,00 mln €",SSC Napoli
Jesper Lindstrøm,"Jesper Lindstrøm            




            Ala destra","22,00 mln €",SSC Napoli
Matteo Politano,"Matteo Politano            




            Ala destra","13,00 mln €",SSC Napoli
Cyril Ngonge,"Cyril Ngonge            




            Ala destra","12,00 mln €",SSC Napoli
Giacomo Raspadori,"Giacomo Raspadori            




            Seconda punta","25,00 mln €",SSC Napoli
Victor Osimhen,"Victor Osimhen            




            Punta centrale","100,00 mln €",SSC Napoli
Giovanni Simeone,"Giovanni Simeone            




            Punta centrale","10,00 mln €",SSC Napoli
Wojciech Szczęsny,"Wojciech Szczęsny            




            Portiere","6,00 mln €",Juventus FC
Mattia Perin,"Mattia Perin            




            Portiere","3,00 mln €",Juventus FC
Giovanni Daffara,"Giovanni Daffara            




            Portiere",300 mila €,Juventus FC
Carlo Pinsoglio,"Carlo Pinsoglio            




            Portiere",200 mila €,Juventus FC
Gian Marco Crespi,"Gian Marco Crespi  




            Portiere",100 mila €,Juventus FC
Giovanni Garofani,"Giovanni Garofani            




            Portiere",100 mila €,Juventus FC
Simone Scaglia,"Simone Scaglia  




            Portiere",25 mila €,Juventus FC
Bremer,"Bremer  




            Difensore centrale","60,00 mln €",Juventus FC
Federico Gatti,"Federico Gatti            




            Difensore centrale","18,00 mln €",Juventus FC
Tiago Djaló,"Tiago Djaló            




            Difensore centrale","12,00 mln €",Juventus FC
Danilo,"Danilo  




            Difensore centrale","10,00 mln €",Juventus FC
Dean Huijsen,"Dean Huijsen            




            Difensore centrale","10,00 mln €",Juventus FC
Daniele Rugani,"Daniele Rugani            




            Difensore centrale","4,00 mln €",Juventus FC
Tarik Muharemovic,"Tarik Muharemovic            




            Difensore centrale","1,20 mln €",Juventus FC
Andrea Cambiaso,"Andrea Cambiaso            




            Terzino sinistro","25,00 mln €",Juventus FC
Filip Kostić,"Filip Kostić  




            Terzino sinistro","6,50 mln €",Juventus FC
Alex Sandro,"Alex Sandro            




            Terzino sinistro","2,00 mln €",Juventus FC
Mattia De Sciglio,"Mattia De Sciglio            




            Terzino destro","1,00 mln €",Juventus FC
Manuel Locatelli,"Manuel Locatelli  




            Mediano","28,00 mln €",Juventus FC
Adrien Rabiot,"Adrien Rabiot            




            Centrale","35,00 mln €",Juventus FC
Weston McKennie,"Weston McKennie            




            Centrale","28,00 mln €",Juventus FC
Fabio Miretti,"Fabio Miretti            




            Centrale","15,00 mln €",Juventus FC
Nicolò Fagioli,"Nicolò Fagioli            




            Centrale","15,00 mln €",Juventus FC
Carlos Alcaraz,"Carlos Alcaraz            




            Centrale","15,00 mln €",Juventus FC
Joseph Nonge,"Joseph Nonge            




            Centrale","3,00 mln €",Juventus FC
Hans Nicolussi Caviglia,"Hans Nicolussi Caviglia            




            Centrale","3,00 mln €",Juventus FC
Paul Pogba,"Paul Pogba  




            Centrale",-,Juventus FC
Nikola Sekulov,"Nikola Sekulov            




            Trequartista",800 mila €,Juventus FC
Kenan Yıldız,"Kenan Yıldız            




            Ala sinistra","30,00 mln €",Juventus FC
Samuel Iling-Junior,"Samuel Iling-Junior            




            Ala sinistra","13,00 mln €",Juventus FC
Federico Chiesa,"Federico Chiesa            




            Ala destra","35,00 mln €",Juventus FC
Matías Soulé,"Matías Soulé            




            Ala destra","25,00 mln €",Juventus FC
Timothy Weah,"Timothy Weah            




            Ala destra","12,00 mln €",Juventus FC
Luis Hasa,"Luis Hasa            




            Ala destra","1,00 mln €",Juventus FC
Dušan Vlahović,"Dušan Vlahović            




            Punta centrale","65,00 mln €",Juventus FC
Moise Kean,"Moise Kean            




            Punta centrale","14,00 mln €",Juventus FC
Arkadiusz Milik,"Arkadiusz Milik            




            Punta centrale","6,00 mln €",Juventus FC
Leonardo Cerri,"Leonardo Cerri            




            Punta centrale",800 mila €,Juventus FC
Tommaso Mancini,"Tommaso Mancini  




            Punta centrale",500 mila €,Juventus FC
Marco Carnesecchi,"Marco Carnesecchi            




            Portiere","16,00 mln €",Atalanta
Juan Musso,"Juan Musso            




            Portiere","5,00 mln €",Atalanta
Paolo Vismara,"Paolo Vismara            




            Portiere",600 mila €,Atalanta
Francesco Rossi,"Francesco Rossi            




            Portiere",100 mila €,Atalanta
Giorgio Scalvini,"Giorgio Scalvini            




            Difensore centrale","45,00 mln €",Atalanta
Isak Hien,"Isak Hien            




            Difensore centrale","20,00 mln €",Atalanta
Berat Djimsiti,"Berat Djimsiti            




            Difensore centrale","10,00 mln €",Atalanta
Sead Kolasinac,"Sead Kolasinac            




            Difensore centrale","10,00 mln €",Atalanta
Caleb Okoli,"Caleb Okoli            




            Difensore centrale","8,00 mln €",Atalanta
Rafael Tolói,"Rafael Tolói  




            Difensore centrale","2,50 mln €",Atalanta
Giovanni Bonfanti,"Giovanni Bonfanti            




            Difensore centrale","1,00 mln €",Atalanta
José Luis Palomino,"José Luis Palomino            




            Difensore centrale",700 mila €,Atalanta
Tommaso Del Lungo,"Tommaso Del Lungo            




            Difensore centrale",250 mila €,Atalanta
Pietro Comi,"Pietro Comi            




            Difensore centrale",250 mila €,Atalanta
Mitchel Bakker,"Mitchel Bakker            




            Terzino sinistro","6,50 mln €",Atalanta
Andrea Ceresoli,"Andrea Ceresoli            




            Terzino sinistro",500 mila €,Atalanta
Emil Holm,"Emil Holm            




            Terzino destro","12,00 mln €",Atalanta
Hans Hateboer,"Hans Hateboer            




            Terzino destro","3,50 mln €",Atalanta
Marten de Roon,"Marten de Roon            




            Mediano","7,00 mln €",Atalanta
Leonardo Mendicino,"Leonardo Mendicino            




            Mediano",800 mila €,Atalanta
Éderson,"Éderson            




            Centrale","40,00 mln €",Atalanta
Mario Pasalic,"Mario Pasalic            




            Centrale","13,00 mln €",Atalanta
Michel Adopo,"Michel Adopo            




            Centrale","1,00 mln €",Atalanta
Alberto Manzoni,"Alberto Manzoni            




            Centrale",300 mila €,Atalanta
Matteo Colombo,"Matteo Colombo            




            Centrale",150 mila €,Atalanta
Davide Zappacosta,"Davide Zappacosta            




            Centrocampista di destra","6,00 mln €",Atalanta
Nadir Zortea,"Nadir Zortea            




            Centrocampista di destra","3,00 mln €",Atalanta
Marco Palestra,"Marco Palestra            




            Centrocampista di destra","1,00 mln €",Atalanta
Matteo Ruggeri,"Matteo Ruggeri            




            Centrocampista di sinistra","20,00 mln €",Atalanta
Teun Koopmeiners,"Teun Koopmeiners            




            Trequartista","50,00 mln €",Atalanta
Charles De Ketelaere,"Charles De Ketelaere            




            Trequartista","34,00 mln €",Atalanta
Aleksey Miranchuk,"Aleksey Miranchuk            




            Trequartista","10,00 mln €",Atalanta
Alessandro Cortinovis,"Alessandro Cortinovis            




            Trequartista",400 mila €,Atalanta
Andrea Bonanomi,"Andrea Bonanomi            




            Trequartista",-,Atalanta
Ademola Lookman,"Ademola Lookman            




            Seconda punta","40,00 mln €",Atalanta
Tommaso De Nipoti,"Tommaso De Nipoti            




            Seconda punta",200 mila €,Atalanta
Gianluca Scamacca,"Gianluca Scamacca  




            Punta centrale","35,00 mln €",Atalanta
El Bilal Touré,"El Bilal Touré  




            Punta centrale","20,00 mln €",Atalanta
Duván Zapata,"Duván Zapata  




            Punta centrale","8,00 mln €",Atalanta
Luis Muriel,"Luis Muriel            




            Punta centrale","2,00 mln €",Atalanta
Siren Diao,"Siren Diao            




            Punta centrale","1,50 mln €",Atalanta
Moustapha Cissé,"Moustapha Cissé            




            Punta centrale",800 mila €,Atalanta
Lukasz Skorupski,"Lukasz Skorupski            




            Portiere","3,50 mln €",Bologna FC
Federico Ravaglia,"Federico Ravaglia            




            Portiere","1,00 mln €",Bologna FC
Nicola Bagnolini,"Nicola Bagnolini            




            Portiere",200 mila €,Bologna FC
Tito Gasperini,"Tito Gasperini            




            Portiere",-,Bologna FC
Sam Beukema,"Sam Beukema            




            Difensore centrale","18,00 mln €",Bologna FC
Jhon Lucumí,"Jhon Lucumí            




            Difensore centrale","17,00 mln €",Bologna FC
Mihajlo Ilic,"Mihajlo Ilic            




            Difensore centrale","4,00 mln €",Bologna FC
Adama Soumaoro,"Adama Soumaoro            




            Difensore centrale","2,00 mln €",Bologna FC
Kevin Bonifazi,"Kevin Bonifazi            




            Difensore centrale","1,80 mln €",Bologna FC
Joaquín Sosa,"Joaquín Sosa            




            Difensore centrale","1,50 mln €",Bologna FC
Riccardo Stivanello,"Riccardo Stivanello  




            Difensore centrale",200 mila €,Bologna FC
Riccardo Calafiori,"Riccardo Calafiori            




            Terzino sinistro","30,00 mln €",Bologna FC
Victor Kristiansen,"Victor Kristiansen            




            Terzino sinistro","15,00 mln €",Bologna FC
Tommaso Corazza,"Tommaso Corazza            




            Terzino sinistro","1,00 mln €",Bologna FC
Charalampos Lykogiannis,"Charalampos Lykogiannis            




            Terzino sinistro","1,00 mln €",Bologna FC
Stefan Posch,"Stefan Posch  




            Terzino destro","14,00 mln €",Bologna FC
Lorenzo De Silvestri,"Lorenzo De Silvestri            




            Terzino destro",400 mila €,Bologna FC
Jerdy Schouten,"Jerdy Schouten            




            Mediano","28,00 mln €",Bologna FC
Nikola Moro,"Nikola Moro            




            Mediano","5,00 mln €",Bologna FC
Oussama El Azzouzi,"Oussama El Azzouzi            




            Mediano","2,50 mln €",Bologna FC
Nicolás Domínguez,"Nicolás Domínguez            




            Centrale","17,00 mln €",Bologna FC
Michel Aebischer,"Michel Aebischer            




            Centrale","9,00 mln €",Bologna FC
Kacper Urbanski,"Kacper Urbanski            




            Centrale","7,00 mln €",Bologna FC
Remo Freuler,"Remo Freuler            




            Centrale","6,50 mln €",Bologna FC
Niklas Pyyhtiä,"Niklas Pyyhtiä            




            Centrale","1,20 mln €",Bologna FC
Lewis Ferguson,"Lewis Ferguson  




            Trequartista","24,00 mln €",Bologna FC
Giovanni Fabbian,"Giovanni Fabbian            




            Trequartista","14,00 mln €",Bologna FC
Jesper Karlsson,"Jesper Karlsson            




            Ala sinistra","8,00 mln €",Bologna FC
Riccardo Orsolini,"Riccardo Orsolini            




            Ala destra","16,00 mln €",Bologna FC
Dan Ndoye,"Dan Ndoye            




            Ala destra","14,00 mln €",Bologna FC
Alexis Saelemaekers,"Alexis Saelemaekers            




            Ala destra","12,00 mln €",Bologna FC
Joshua Zirkzee,"Joshua Zirkzee            




            Punta centrale","50,00 mln €",Bologna FC
Santiago Castro,"Santiago Castro            




            Punta centrale","12,00 mln €",Bologna FC
Jens Odgaard,"Jens Odgaard            




            Punta centrale","4,50 mln €",Bologna FC
Marko Arnautovic,"Marko Arnautovic            




            Punta centrale","4,00 mln €",Bologna FC
Sydney van Hooijdonk,"Sydney van Hooijdonk            




            Punta centrale","4,00 mln €",Bologna FC
Tommaso Ravaglioli,"Tommaso Ravaglioli            




            Punta centrale",-,Bologna FC
Mile Svilar,"Mile Svilar            




            Portiere","9,00 mln €",AS Roma
Rui Patrício,"Rui Patrício            




            Portiere","1,00 mln €",AS Roma
Renato Marin,"Renato Marin            




            Portiere",500 mila €,AS Roma
Pietro Boer,"Pietro Boer            




            Portiere",150 mila €,AS Roma
Evan Ndicka,"Evan Ndicka            




            Difensore centrale","25,00 mln €",AS Roma
