name,role,age,market_value,squadra,stagione
Christian Pierobon,"Christian Pierobon            




            Centrale",26/mar/2002 (20),125 mila €,Hellas Verona,2021
Mattia Turra,"Mattia Turra            




            Centrale",29/ago/2002 (19),50 mila €,Hellas Verona,2021
Darko Lazović,"Darko Lazović  




            Centrocampista di sinistra",15/set/1990 (31),"4,00 mln €",Hellas Verona,2021
Antonín Barák,"Antonín Barák            




            Trequartista",03/dic/1994 (27),"20,00 mln €",Hellas Verona,2021
Mateusz Praszelik,"Mateusz Praszelik  




            Trequartista",26/set/2000 (21),"1,40 mln €",Hellas Verona,2021
Mattia Zaccagni,"Mattia Zaccagni            




            Ala sinistra",16/giu/1995 (27),"18,00 mln €",Hellas Verona,2021
Antonino Ragusa,"Antonino Ragusa            




            Ala sinistra",27/mar/1990 (32),400 mila €,Hellas Verona,2021
Matteo Cancellieri,"Matteo Cancellieri  




            Ala destra",12/feb/2002 (20),"3,00 mln €",Hellas Verona,2021
Gianluca Caprari,"Gianluca Caprari            




            Seconda punta",30/lug/1993 (28),"10,00 mln €",Hellas Verona,2021
Mattia Florio,"Mattia Florio            




            Seconda punta",05/set/2003 (18),150 mila €,Hellas Verona,2021
Giovanni Simeone,"Giovanni Simeone            




            Punta centrale",05/lug/1995 (26),"17,00 mln €",Hellas Verona,2021
Kevin Lasagna,"Kevin Lasagna            




            Punta centrale",10/ago/1992 (29),"3,50 mln €",Hellas Verona,2021
Nikola Kalinić,"Nikola Kalinić            




            Punta centrale",05/gen/1988 (34),800 mila €,Hellas Verona,2021
Samuel Di Carmine,"Samuel Di Carmine            




            Punta centrale",29/set/1988 (33),600 mila €,Hellas Verona,2021
David Flakus Bosilj,"David Flakus Bosilj            




            Punta centrale",01/feb/2002 (20),450 mila €,Hellas Verona,2021
Marco Silvestri,"Marco Silvestri            




            Portiere",02/mar/1991 (31),"5,00 mln €",Udinese Calcio,2021
Simone Scuffet,"Simone Scuffet            




            Portiere",31/mag/1996 (26),600 mila €,Udinese Calcio,2021
Daniele Padelli,"Daniele Padelli            




            Portiere",25/ott/1985 (36),400 mila €,Udinese Calcio,2021
Manuel Gasparini,"Manuel Gasparini            




            Portiere",19/mag/2002 (20),200 mila €,Udinese Calcio,2021
Edoardo Piana,"Edoardo Piana            




            Portiere",29/set/2003 (18),50 mila €,Udinese Calcio,2021
Antonio Santurro,"Antonio Santurro            




            Portiere",29/feb/1992 (30),50 mila €,Udinese Calcio,2021
Matteo Carnelos,"Matteo Carnelos            




            Portiere",22/feb/2003 (19),25 mila €,Udinese Calcio,2021
Nehuén Pérez,"Nehuén Pérez            




            Difensore centrale",24/giu/2000 (22),"6,00 mln €",Udinese Calcio,2021
Rodrigo Becão,"Rodrigo Becão   




            Difensore centrale",19/gen/1996 (26),"6,00 mln €",Udinese Calcio,2021
Samir Caetano,"Samir Caetano            




            Difensore centrale",05/dic/1994 (27),"5,00 mln €",Udinese Calcio,2021
Pablo Marí,"Pablo Marí            




            Difensore centrale",31/ago/1993 (28),"5,00 mln €",Udinese Calcio,2021
Bram Nuytinck,"Bram Nuytinck            




            Difensore centrale",04/mag/1990 (32),"3,50 mln €",Udinese Calcio,2021
Filip Benkovic,"Filip Benkovic            




            Difensore centrale",13/lug/1997 (24),"1,80 mln €",Udinese Calcio,2021
Sebastien De Maio,"Sebastien De Maio            




            Difensore centrale",05/mar/1987 (35),350 mila €,Udinese Calcio,2021
Niccolò Cocetta,"Niccolò Cocetta            




            Difensore centrale",19/dic/2003 (18),75 mila €,Udinese Calcio,2021
Destiny Udogie,"Destiny Udogie            




            Terzino sinistro",28/nov/2002 (19),"17,00 mln €",Udinese Calcio,2021
Marvin Zeegelaar,"Marvin Zeegelaar            




            Terzino sinistro",12/ago/1990 (31),800 mila €,Udinese Calcio,2021
Raed Jaziri,"Raed Jaziri            




            Terzino sinistro",13/apr/2003 (19),25 mila €,Udinese Calcio,2021
Nahuel Molina,"Nahuel Molina            




            Terzino destro",06/apr/1998 (24),"20,00 mln €",Udinese Calcio,2021
Brandon Soppy,"Brandon Soppy            




            Terzino destro",21/feb/2002 (20),"5,00 mln €",Udinese Calcio,2021
Jens Stryger Larsen,"Jens Stryger Larsen  




            Terzino destro",21/feb/1991 (31),"2,00 mln €",Udinese Calcio,2021
Lorenzo Codutti,"Lorenzo Codutti  




            Terzino destro",27/giu/2003 (19),50 mila €,Udinese Calcio,2021
Walace,"Walace            




            Mediano",04/apr/1995 (27),"5,00 mln €",Udinese Calcio,2021
Martin Palumbo,"Martin Palumbo            




            Mediano",05/mar/2002 (20),700 mila €,Udinese Calcio,2021
Mato Jajalo,"Mato Jajalo  




            Mediano",25/mag/1988 (34),400 mila €,Udinese Calcio,2021
Riccardo Castagnaviz,"Riccardo Castagnaviz            




            Mediano",29/gen/2003 (19),75 mila €,Udinese Calcio,2021
Mattia Damiani,"Mattia Damiani            




            Mediano",25/feb/2003 (19),50 mila €,Udinese Calcio,2021
Jean-Victor Makengo,"Jean-Victor Makengo  




            Centrale",12/giu/1998 (24),"7,50 mln €",Udinese Calcio,2021
Roberto Pereyra,"Roberto Pereyra            




            Centrale",07/gen/1991 (31),"6,50 mln €",Udinese Calcio,2021
Lazar Samardžić,"Lazar Samardžić            




            Centrale",24/feb/2002 (20),"3,50 mln €",Udinese Calcio,2021
Riccardo Pinzi,"Riccardo Pinzi            




            Centrale",17/ago/2003 (18),100 mila €,Udinese Calcio,2021
Marco Ballarini,"Marco Ballarini            




            Centrale",28/mar/2001 (21),100 mila €,Udinese Calcio,2021
Jacopo Fedrizzi,"Jacopo Fedrizzi            




            Centrale",18/mar/2003 (19),50 mila €,Udinese Calcio,2021
Tolgay Arslan,"Tolgay Arslan  




            Trequartista",16/ago/1990 (31),"2,30 mln €",Udinese Calcio,2021
Simone Pafundi,"Simone Pafundi            




            Trequartista",14/mar/2006 (16),-,Udinese Calcio,2021
Simone Ianesi,"Simone Ianesi            




            Ala sinistra",13/feb/2002 (20),125 mila €,Udinese Calcio,2021
Ignacio Pussetto,"Ignacio Pussetto            




            Ala destra",21/dic/1995 (26),"3,00 mln €",Udinese Calcio,2021
Cristo,"Cristo            




            Seconda punta",24/ott/1997 (24),"1,50 mln €",Udinese Calcio,2021
Fernando Forestieri,"Fernando Forestieri  




            Seconda punta",15/gen/1990 (32),875 mila €,Udinese Calcio,2021
Gerard Deulofeu,"Gerard Deulofeu  




            Punta centrale",13/mar/1994 (28),"15,00 mln €",Udinese Calcio,2021
Beto,"Beto            




            Punta centrale",31/gen/1998 (24),"10,00 mln €",Udinese Calcio,2021
Isaac Success,"Isaac Success            




            Punta centrale",07/gen/1996 (26),"3,00 mln €",Udinese Calcio,2021
Stefano Okaka,"Stefano Okaka            




            Punta centrale",09/ago/1989 (32),"2,90 mln €",Udinese Calcio,2021
Ilija Nestorovski,"Ilija Nestorovski            




            Punta centrale",12/mar/1990 (32),700 mila €,Udinese Calcio,2021
Alessio Cragno,"Alessio Cragno            




            Portiere",28/giu/1994 (28),"10,00 mln €",Cagliari Calcio,2021
Boris Radunović,"Boris Radunović            




            Portiere",26/mag/1996 (26),400 mila €,Cagliari Calcio,2021
Andrea D'Aniello,"Andrea D'Aniello            




            Portiere",08/mag/2003 (19),200 mila €,Cagliari Calcio,2021
Simone Aresti,"Simone Aresti            




            Portiere",15/mar/1986 (36),100 mila €,Cagliari Calcio,2021
Eugenio Fusco,"Eugenio Fusco            




            Portiere",19/mag/2003 (19),25 mila €,Cagliari Calcio,2021
Eldin Lolic,"Eldin Lolic            




            Portiere",15/mag/2004 (18),-,Cagliari Calcio,2021
Matteo Lovato,"Matteo Lovato            




            Difensore centrale",14/feb/2000 (22),"7,00 mln €",Cagliari Calcio,2021
Sebastian Walukiewicz,"Sebastian Walukiewicz            




            Difensore centrale",05/apr/2000 (22),"5,00 mln €",Cagliari Calcio,2021
Andrea Carboni,"Andrea Carboni  




            Difensore centrale",04/feb/2001 (21),"5,00 mln €",Cagliari Calcio,2021
Giorgio Altare,"Giorgio Altare            




            Difensore centrale",09/ago/1998 (23),"2,00 mln €",Cagliari Calcio,2021
Diego Godín,"Diego Godín            




            Difensore centrale",16/feb/1986 (36),"1,00 mln €",Cagliari Calcio,2021
Edoardo Goldaniga,"Edoardo Goldaniga            




            Difensore centrale",02/nov/1993 (28),"1,00 mln €",Cagliari Calcio,2021
Martín Cáceres,"Martín Cáceres            




            Difensore centrale",07/apr/1987 (35),900 mila €,Cagliari Calcio,2021
Adam Obert,"Adam Obert  




            Difensore centrale",23/ago/2002 (19),900 mila €,Cagliari Calcio,2021
Luca Ceppitelli,"Luca Ceppitelli            




            Difensore centrale",11/ago/1989 (32),800 mila €,Cagliari Calcio,2021
Luigi Palomba,"Luigi Palomba            




            Difensore centrale",17/apr/2003 (19),200 mila €,Cagliari Calcio,2021
Iurie Iovu,"Iurie Iovu            




            Difensore centrale",06/lug/2002 (19),100 mila €,Cagliari Calcio,2021
Dalbert,"Dalbert            




            Terzino sinistro",08/set/1993 (28),"2,50 mln €",Cagliari Calcio,2021
Charalampos Lykogiannis,"Charalampos Lykogiannis            




            Terzino sinistro",22/ott/1993 (28),"2,20 mln €",Cagliari Calcio,2021
Gabriele Zappa,"Gabriele Zappa  




            Terzino destro",22/dic/1999 (22),"3,80 mln €",Cagliari Calcio,2021
Răzvan Marin,"Răzvan Marin            




            Mediano",23/mag/1996 (26),"12,00 mln €",Cagliari Calcio,2021
Alberto Grassi,"Alberto Grassi  




            Mediano",07/mar/1995 (27),"2,50 mln €",Cagliari Calcio,2021
Christian Oliva,"Christian Oliva            




            Mediano",01/giu/1996 (26),"1,50 mln €",Cagliari Calcio,2021
Riccardo Ladinetti,"Riccardo Ladinetti            




            Mediano",20/dic/2000 (21),200 mila €,Cagliari Calcio,2021
Nahitan Nández,"Nahitan Nández            




            Centrale",28/dic/1995 (26),"13,00 mln €",Cagliari Calcio,2021
Marko Rog,"Marko Rog            




            Centrale",19/lug/1995 (26),"6,00 mln €",Cagliari Calcio,2021
Alessandro Deiola,"Alessandro Deiola            




            Centrale",01/ago/1995 (26),"2,00 mln €",Cagliari Calcio,2021
Kevin Strootman,"Kevin Strootman            




            Centrale",13/feb/1990 (32),"1,50 mln €",Cagliari Calcio,2021
Daniele Baselli,"Daniele Baselli  




            Centrale",12/mar/1992 (30),"1,40 mln €",Cagliari Calcio,2021
Paolo Faragò,"Paolo Faragò  




            Centrale",12/feb/1993 (29),"1,00 mln €",Cagliari Calcio,2021
Christos Kourfalidis,"Christos Kourfalidis            




            Centrale",11/nov/2002 (19),700 mila €,Cagliari Calcio,2021
Raoul Bellanova,"Raoul Bellanova            




            Centrocampista di destra",17/mag/2000 (22),"7,00 mln €",Cagliari Calcio,2021
Gastón Pereiro,"Gastón Pereiro            




            Trequartista",11/giu/1995 (27),"3,00 mln €",Cagliari Calcio,2021
Nicolò Cavuoti,"Nicolò Cavuoti            




            Trequartista",04/apr/2003 (19),250 mila €,Cagliari Calcio,2021
Isaías Delpupo,"Isaías Delpupo  




            Trequartista",31/mar/2003 (19),200 mila €,Cagliari Calcio,2021
Keita Baldé,"Keita Baldé            




            Ala sinistra",08/mar/1995 (27),"3,00 mln €",Cagliari Calcio,2021
Diego Farias,"Diego Farias            




            Ala sinistra",10/mag/1990 (32),"1,00 mln €",Cagliari Calcio,2021
Jacopo Desogus,"Jacopo Desogus            




            Ala sinistra",01/ott/2002 (19),500 mila €,Cagliari Calcio,2021
Lisandru Tramoni,"Lisandru Tramoni            




            Ala destra",18/apr/2003 (19),400 mila €,Cagliari Calcio,2021
Giovanni Simeone,"Giovanni Simeone            




            Punta centrale",05/lug/1995 (26),"17,00 mln €",Cagliari Calcio,2021
João Pedro,"João Pedro            




            Punta centrale",09/mar/1992 (30),"12,00 mln €",Cagliari Calcio,2021
Alberto Cerri,"Alberto Cerri            




            Punta centrale",16/apr/1996 (26),"2,00 mln €",Cagliari Calcio,2021
Leonardo Pavoletti,"Leonardo Pavoletti  




            Punta centrale",26/nov/1988 (33),"1,60 mln €",Cagliari Calcio,2021
Zito Luvumbo,"Zito Luvumbo  




            Punta centrale",09/mar/2002 (20),800 mila €,Cagliari Calcio,2021
Damir Céter,"Damir Céter            




            Punta centrale",02/nov/1997 (24),600 mila €,Cagliari Calcio,2021
Luca Gagliano,"Luca Gagliano            




            Punta centrale",14/lug/2000 (21),250 mila €,Cagliari Calcio,2021
Emil Audero,"Emil Audero            




            Portiere",18/gen/1997 (25),"6,00 mln €",UC Sampdoria,2021
Wladimiro Falcone,"Wladimiro Falcone            




            Portiere",12/apr/1995 (27),"3,00 mln €",UC Sampdoria,2021
Nicola Ravaglia,"Nicola Ravaglia            




            Portiere",12/dic/1988 (33),200 mila €,UC Sampdoria,2021
Ivan Saio,"Ivan Saio            




            Portiere",16/mar/2002 (20),100 mila €,UC Sampdoria,2021
Omar Colley,"Omar Colley            




            Difensore centrale",24/ott/1992 (29),"4,50 mln €",UC Sampdoria,2021
Giangiacomo Magnani,"Giangiacomo Magnani            




            Difensore centrale",04/ott/1995 (26),"3,60 mln €",UC Sampdoria,2021
Jeison Murillo,"Jeison Murillo            




            Difensore centrale",27/mag/1992 (30),"3,50 mln €",UC Sampdoria,2021
Radu Drăgușin,"Radu Drăgușin  




            Difensore centrale",03/feb/2002 (20),"3,50 mln €",UC Sampdoria,2021
Jeff Chabot,"Jeff Chabot            




            Difensore centrale",12/feb/1998 (24),"2,00 mln €",UC Sampdoria,2021
Alex Ferrari,"Alex Ferrari            




            Difensore centrale",01/lug/1994 (27),"1,80 mln €",UC Sampdoria,2021
Maya Yoshida,"Maya Yoshida            




            Difensore centrale",24/ago/1988 (33),"1,50 mln €",UC Sampdoria,2021
Lorenzo Tonelli,"Lorenzo Tonelli            




            Difensore centrale",17/gen/1990 (32),"1,00 mln €",UC Sampdoria,2021
Luigi Aquino,"Luigi Aquino            




            Difensore centrale",01/feb/2002 (20),175 mila €,UC Sampdoria,2021
Giovanni Bonfanti,"Giovanni Bonfanti            




            Difensore centrale",17/gen/2003 (19),100 mila €,UC Sampdoria,2021
Tommaso Augello,"Tommaso Augello            




            Terzino sinistro",30/ago/1994 (27),"3,50 mln €",UC Sampdoria,2021
Nicola Murru,"Nicola Murru  




            Terzino sinistro",16/dic/1994 (27),"2,00 mln €",UC Sampdoria,2021
Francesco Migliardi,"Francesco Migliardi            




            Terzino sinistro",19/mar/2003 (19),150 mila €,UC Sampdoria,2021
Bartosz Bereszyński,"Bartosz Bereszyński  




            Terzino destro",12/lug/1992 (29),"4,00 mln €",UC Sampdoria,2021
Fabio Depaoli,"Fabio Depaoli            




            Terzino destro",24/apr/1997 (25),"2,80 mln €",UC Sampdoria,2021
Andrea Conti,"Andrea Conti            




            Terzino destro",02/mar/1994 (28),"2,50 mln €",UC Sampdoria,2021
Albin Ekdal,"Albin Ekdal            




            Mediano",28/lug/1989 (32),"1,00 mln €",UC Sampdoria,2021
Tomás Rincón,"Tomás Rincón            




            Mediano",13/gen/1988 (34),"1,00 mln €",UC Sampdoria,2021
Gerard Yepes,"Gerard Yepes            




            Mediano",25/ago/2002 (19),500 mila €,UC Sampdoria,2021
Morten Thorsby,"Morten Thorsby  




            Centrale",05/mag/1996 (26),"7,00 mln €",UC Sampdoria,2021
Stefano Sensi,"Stefano Sensi  




            Centrale",05/ago/1995 (26),"7,00 mln €",UC Sampdoria,2021
Ronaldo Vieira,"Ronaldo Vieira            




            Centrale",19/lug/1998 (23),"3,50 mln €",UC Sampdoria,2021
Valerio Verre,"Valerio Verre  




            Centrale",11/gen/1994 (28),"2,50 mln €",UC Sampdoria,2021
Adrien Silva,"Adrien Silva            




            Centrale",15/mar/1989 (33),"2,00 mln €",UC Sampdoria,2021
Kristoffer Askildsen,"Kristoffer Askildsen            




            Centrale",09/gen/2001 (21),"1,80 mln €",UC Sampdoria,2021
Simone Trimboli,"Simone Trimboli            




            Centrale",19/apr/2002 (20),600 mila €,UC Sampdoria,2021
Marco Somma,"Marco Somma  




            Centrocampista di destra",07/feb/2002 (20),175 mila €,UC Sampdoria,2021
Jakub Jankto,"Jakub Jankto            




            Centrocampista di sinistra",19/gen/1996 (26),"4,00 mln €",UC Sampdoria,2021
Mikkel Damsgaard,"Mikkel Damsgaard            




            Trequartista",03/lug/2000 (21),"15,00 mln €",UC Sampdoria,2021
Mohamed Ihattaren,"Mohamed Ihattaren            




            Trequartista",12/feb/2002 (20),"5,00 mln €",UC Sampdoria,2021
Abdelhamid Sabiri,"Abdelhamid Sabiri            




            Trequartista",28/nov/1996 (25),"3,00 mln €",UC Sampdoria,2021
Antonio Candreva,"Antonio Candreva            




            Trequartista",28/feb/1987 (35),"2,50 mln €",UC Sampdoria,2021
Riccardo Ciervo,"Riccardo Ciervo            




            Ala sinistra",01/apr/2002 (20),"1,50 mln €",UC Sampdoria,2021
Gianluca Caprari,"Gianluca Caprari            




            Seconda punta",30/lug/1993 (28),"10,00 mln €",UC Sampdoria,2021
Sebastian Giovinco,"Sebastian Giovinco            




            Seconda punta",26/gen/1987 (35),500 mila €,UC Sampdoria,2021
Manolo Gabbiadini,"Manolo Gabbiadini            




            Punta centrale",26/nov/1991 (30),"4,00 mln €",UC Sampdoria,2021
Ernesto Torregrossa,"Ernesto Torregrossa            




            Punta centrale",28/giu/1992 (30),"3,00 mln €",UC Sampdoria,2021
Vladyslav Supryaga,"Vladyslav Supryaga            




            Punta centrale",15/feb/2000 (22),"3,00 mln €",UC Sampdoria,2021
Francesco Caputo,"Francesco Caputo            




            Punta centrale",06/ago/1987 (34),"2,50 mln €",UC Sampdoria,2021
Fabio Quagliarella,"Fabio Quagliarella            




            Punta centrale",31/gen/1983 (39),"1,00 mln €",UC Sampdoria,2021
Lorenzo Di Stefano,"Lorenzo Di Stefano            




            Punta centrale",19/set/2002 (19),400 mila €,UC Sampdoria,2021
Daniele Montevago,"Daniele Montevago            




            Punta centrale",18/mar/2003 (19),150 mila €,UC Sampdoria,2021
Guglielmo Vicario,"Guglielmo Vicario            




            Portiere",07/ott/1996 (25),"10,00 mln €",Empoli FC,2021
Alberto Brignoli,"Alberto Brignoli            




            Portiere",19/ago/1991 (30),"1,20 mln €",Empoli FC,2021
Jacopo Furlan,"Jacopo Furlan            




            Portiere",22/feb/1993 (29),300 mila €,Empoli FC,2021
Samir Ujkani,"Samir Ujkani            




            Portiere",05/lug/1988 (33),200 mila €,Empoli FC,2021
Klemen Hvalic,"Klemen Hvalic            




            Portiere",18/apr/2002 (20),100 mila €,Empoli FC,2021
Valerio Biagini,"Valerio Biagini            




            Portiere",20/ott/2003 (18),75 mila €,Empoli FC,2021
Mattia Viti,"Mattia Viti  




            Difensore centrale",24/gen/2002 (20),"7,00 mln €",Empoli FC,2021
Sebastiano Luperto,"Sebastiano Luperto            




            Difensore centrale",06/set/1996 (25),"3,00 mln €",Empoli FC,2021
Ardian Ismajli,"Ardian Ismajli  




            Difensore centrale",30/set/1996 (25),"1,80 mln €",Empoli FC,2021
Simone Canestrelli,"Simone Canestrelli            




            Difensore centrale",11/set/2000 (21),"1,00 mln €",Empoli FC,2021
Simone Romagnoli,"Simone Romagnoli  




            Difensore centrale",09/feb/1990 (32),"1,00 mln €",Empoli FC,2021
Lorenzo Tonelli,"Lorenzo Tonelli            




            Difensore centrale",17/gen/1990 (32),"1,00 mln €",Empoli FC,2021
Leonardo Pezzola,"Leonardo Pezzola            




            Difensore centrale",17/mar/2002 (20),125 mila €,Empoli FC,2021
Fabiano Parisi,"Fabiano Parisi            




            Terzino sinistro",09/nov/2000 (21),"4,50 mln €",Empoli FC,2021
Liberato Cacace,"Liberato Cacace            




            Terzino sinistro",27/set/2000 (21),"2,50 mln €",Empoli FC,2021
Riccardo Marchizza,"Riccardo Marchizza            




            Terzino sinistro",26/mar/1998 (24),"2,00 mln €",Empoli FC,2021
Alessio Rizza,"Alessio Rizza            




            Terzino sinistro",07/mar/2003 (19),150 mila €,Empoli FC,2021
Petar Stojanović,"Petar Stojanović            




            Terzino destro",07/ott/1995 (26),"3,00 mln €",Empoli FC,2021
Riccardo Fiamozzi,"Riccardo Fiamozzi            




            Terzino destro",18/mag/1993 (29),500 mila €,Empoli FC,2021
Samuele Ricci,"Samuele Ricci            




            Mediano",21/ago/2001 (20),"12,00 mln €",Empoli FC,2021
Kristjan Asllani,"Kristjan Asllani  




            Mediano",09/mar/2002 (20),"10,00 mln €",Empoli FC,2021
Leo Stulac,"Leo Stulac            




            Mediano",26/set/1994 (27),"2,20 mln €",Empoli FC,2021
Duccio Degli Innocenti,"Duccio Degli Innocenti            




            Mediano",28/apr/2003 (19),500 mila €,Empoli FC,2021
Samuele Damiani,"Samuele Damiani  




            Mediano",30/gen/1998 (24),250 mila €,Empoli FC,2021
Szymon Żurkowski,"Szymon Żurkowski  




            Centrale",25/set/1997 (24),"7,00 mln €",Empoli FC,2021
Filippo Bandinelli,"Filippo Bandinelli            




            Centrale",29/mar/1995 (27),"3,00 mln €",Empoli FC,2021
Nicolas Haas,"Nicolas Haas  




            Centrale",23/gen/1996 (26),"3,00 mln €",Empoli FC,2021
Liam Henderson,"Liam Henderson  




            Centrale",25/apr/1996 (26),"2,80 mln €",Empoli FC,2021
Valerio Verre,"Valerio Verre  




            Centrale",11/gen/1994 (28),"2,50 mln €",Empoli FC,2021
Marco Benassi,"Marco Benassi            




            Centrale",08/set/1994 (27),"2,40 mln €",Empoli FC,2021
Giovanni Crociata,"Giovanni Crociata            




            Centrale",11/ago/1997 (24),550 mila €,Empoli FC,2021
Jacopo Fazzini,"Jacopo Fazzini  




            Centrale",16/mar/2003 (19),250 mila €,Empoli FC,2021
Nedim Bajrami,"Nedim Bajrami            




            Trequartista",28/feb/1999 (23),"10,00 mln €",Empoli FC,2021
Tommaso Baldanzi,"Tommaso Baldanzi            




            Trequartista",23/mar/2003 (19),800 mila €,Empoli FC,2021
Federico Di Francesco,"Federico Di Francesco            




            Ala sinistra",14/giu/1994 (28),"2,00 mln €",Empoli FC,2021
Emmanuel Ekong,"Emmanuel Ekong            




            Ala sinistra",25/giu/2002 (20),300 mila €,Empoli FC,2021
Andrea Pinamonti,"Andrea Pinamonti            




            Punta centrale",19/mag/1999 (23),"20,00 mln €",Empoli FC,2021
Patrick Cutrone,"Patrick Cutrone            




            Punta centrale",03/gen/1998 (24),"3,50 mln €",Empoli FC,2021
Leonardo Mancuso,"Leonardo Mancuso            




            Punta centrale",26/mag/1992 (30),"2,70 mln €",Empoli FC,2021
Andrea La Mantia,"Andrea La Mantia            




            Punta centrale",06/mag/1991 (31),"1,30 mln €",Empoli FC,2021
Adrian Semper,"Adrian Semper            




            Portiere",12/gen/1998 (24),"1,50 mln €",Genoa CFC,2021
Salvatore Sirigu,"Salvatore Sirigu            




            Portiere",12/gen/1987 (35),"1,50 mln €",Genoa CFC,2021
Lorenzo Andrenacci,"Lorenzo Andrenacci            




            Portiere",02/gen/1995 (27),100 mila €,Genoa CFC,2021
Federico Marchetti,"Federico Marchetti            




            Portiere",07/feb/1983 (39),100 mila €,Genoa CFC,2021
Rok Vodisek,"Rok Vodisek            




            Portiere",05/dic/1998 (23),50 mila €,Genoa CFC,2021
Zinho Vanheusden,"Zinho Vanheusden  




            Difensore centrale",29/lug/1999 (22),"8,00 mln €",Genoa CFC,2021
Leo Østigård,"Leo Østigård            




            Difensore centrale",28/nov/1999 (22),"5,00 mln €",Genoa CFC,2021
Johan Vásquez,"Johan Vásquez            




            Difensore centrale",22/ott/1998 (23),"4,00 mln €",Genoa CFC,2021
Nikola Maksimović,"Nikola Maksimović  




            Difensore centrale",25/nov/1991 (30),"2,50 mln €",Genoa CFC,2021
Davide Biraschi,"Davide Biraschi            




            Difensore centrale",02/lug/1994 (27),"2,00 mln €",Genoa CFC,2021
Mattia Bani,"Mattia Bani  




            Difensore centrale",10/dic/1993 (28),"1,80 mln €",Genoa CFC,2021
Andrea Masiello,"Andrea Masiello            




            Difensore centrale",05/feb/1986 (36),400 mila €,Genoa CFC,2021
Laurens Serpe,"Laurens Serpe            




            Difensore centrale",07/feb/2001 (21),175 mila €,Genoa CFC,2021
Andrea Cambiaso,"Andrea Cambiaso  




            Terzino sinistro",20/feb/2000 (22),"5,00 mln €",Genoa CFC,2021
Mohamed Salim Fares,"Mohamed Salim Fares            




            Terzino sinistro",15/feb/1996 (26),"4,00 mln €",Genoa CFC,2021
Riccardo Calafiori,"Riccardo Calafiori  




            Terzino sinistro",19/mag/2002 (20),"3,50 mln €",Genoa CFC,2021
Lennart Czyborra,"Lennart Czyborra            




            Terzino sinistro",03/mag/1999 (23),"2,30 mln €",Genoa CFC,2021
Domenico Criscito,"Domenico Criscito            




            Terzino sinistro",30/dic/1986 (35),600 mila €,Genoa CFC,2021
Silvan Hefti,"Silvan Hefti            




            Terzino destro",25/ott/1997 (24),"5,00 mln €",Genoa CFC,2021
Paolo Ghiglione,"Paolo Ghiglione            




            Terzino destro",02/feb/1997 (25),"2,00 mln €",Genoa CFC,2021
Stefano Sabelli,"Stefano Sabelli            




            Terzino destro",13/gen/1993 (29),"1,50 mln €",Genoa CFC,2021
Nicolò Rovella,"Nicolò Rovella  




            Mediano",04/dic/2001 (20),"10,00 mln €",Genoa CFC,2021
Abdoulaye Touré,"Abdoulaye Touré            




            Mediano",03/mar/1994 (28),"2,50 mln €",Genoa CFC,2021
Milan Badelj,"Milan Badelj   




            Mediano",25/feb/1989 (33),"1,00 mln €",Genoa CFC,2021
Valon Behrami,"Valon Behrami            




            Mediano",19/apr/1985 (37),300 mila €,Genoa CFC,2021
Nadiem Amiri,"Nadiem Amiri            




            Centrale",27/ott/1996 (25),"8,00 mln €",Genoa CFC,2021
Morten Frendrup,"Morten Frendrup            




            Centrale",07/apr/2001 (21),"3,70 mln €",Genoa CFC,2021
Stefano Sturaro,"Stefano Sturaro            




            Centrale",09/mar/1993 (29),"3,00 mln €",Genoa CFC,2021
Hernani,"Hernani  




            Centrale",27/mar/1994 (28),"3,00 mln €",Genoa CFC,2021
Pablo Galdames,"Pablo Galdames            




            Centrale",30/dic/1996 (25),"3,00 mln €",Genoa CFC,2021
Manolo Portanova,"Manolo Portanova            




            Centrale",02/giu/2000 (22),"2,50 mln €",Genoa CFC,2021
Filippo Melegoni,"Filippo Melegoni            




            Centrale",18/feb/1999 (23),"2,00 mln €",Genoa CFC,2021
Francesco Cassata,"Francesco Cassata            




            Centrale",16/lug/1997 (24),900 mila €,Genoa CFC,2021
Steeve-Mike Eyango,"Steeve-Mike Eyango            




            Centrale",20/feb/2001 (21),150 mila €,Genoa CFC,2021
Kevin Agudelo,"Kevin Agudelo            




            Trequartista",14/nov/1998 (23),"3,50 mln €",Genoa CFC,2021
Yayah Kallon,"Yayah Kallon            




            Ala destra",30/giu/2001 (21),"1,50 mln €",Genoa CFC,2021
Albert Gudmundsson,"Albert Gudmundsson            




            Seconda punta",15/giu/1997 (25),"2,40 mln €",Genoa CFC,2021
Goran Pandev,"Goran Pandev            




            Seconda punta",27/lug/1983 (38),400 mila €,Genoa CFC,2021
Kelvin Yeboah,"Kelvin Yeboah            




            Punta centrale",06/mag/2000 (22),"5,00 mln €",Genoa CFC,2021
Roberto Piccoli,"Roberto Piccoli            




            Punta centrale",27/gen/2001 (21),"4,00 mln €",Genoa CFC,2021
Eddie Salcedo,"Eddie Salcedo            




            Punta centrale",01/ott/2001 (20),"3,50 mln €",Genoa CFC,2021
Mattia Destro,"Mattia Destro            




            Punta centrale",20/mar/1991 (31),"3,00 mln €",Genoa CFC,2021
Caleb Ekuban,"Caleb Ekuban  




            Punta centrale",23/mar/1994 (28),"1,80 mln €",Genoa CFC,2021
Felipe Caicedo,"Felipe Caicedo            




            Punta centrale",05/set/1988 (33),"1,50 mln €",Genoa CFC,2021
